"MLS #","Cat","Status","Address","City","County","Beds","Baths","Structure Type","Status Contractual Search Date","List Office Name","Current Price"
"VAFX2065850","RES","C/S","8310 Chapel Lake Ct","Annandale","Fairfax, VA","5","3/1","Detached","05/12/22","Pearson Smith Realty, LLC (PSTH3)","$1,175,000"
"VAFX2065798","RES","C/S","3408 Charleson St","Annandale","Fairfax, VA","5","3","Detached","05/07/22","CENTURY 21 New Millennium (CENT2003)","$675,000"
"VAFX2064362","RES","C/S","5104 Red Fox Dr","Annandale","Fairfax, VA","4","3/0","Detached","05/06/22","Compass (COMPS7)","$695,000"
"VAFX2065278","RES","C/S","7301 Ivycrest Pl","Annandale","Fairfax, VA","5","4/1","Detached","05/18/22","Berkshire Hathaway HomeServices PenFed Realty (BHHSS3)","$1,239,000"
"VAFX2065530","RES","C/S","3692 Yorktown Village Pass","Annandale","Fairfax, VA","4","3/1","End of Row/Townhouse","05/05/22","Samson Properties (SAMP5)","$575,000"
"VAFX2065118","RES","C/S","6814 Maplecrest Dr","Annandale","Fairfax, VA","4","2/1","Detached","05/04/22","Q Real Estate, LLC (QRE1)","$740,000"
"VAFX2064834","RES","C/S","4934 Sauquoit Ln","Annandale","Fairfax, VA","3","3/2","Interior Row/Townhouse","05/12/22","Pearson Smith Realty, LLC (PSTH3)","$609,000"
"VAFX2063036","RES","C/S","7106 Jayhawk St","Annandale","Fairfax, VA","4","2/0","Detached","05/04/22","KW Metro Center (KWR19)","$559,900"
"VAFX2062648","RES","C/S","7254 Glen Hollow Ct #1","Annandale","Fairfax, VA","3","2","Unit/Flat/Apartment","05/06/22","CENTURY 21 New Millennium (CENT2001)","$429,000"
"VAFX2064636","RES","ACT","7305 Farr St","Annandale","Fairfax, VA","4","2/0","Detached","04/29/22","RE/MAX Allegiance (RMAX126)","$644,900"
"VAFX2065162","RES","ACT","7830 Byrds Nest Pass","Annandale","Fairfax, VA","3","3/1","End of Row/Townhouse","04/29/22","Property Collective (PROPCOL1)","$610,000"
"VAFX2065510","RES","ACT","7207 Masonville Dr","Annandale","Fairfax, VA","4","3","Detached","04/29/22","Golston Real Estate Inc. (GORE1)","$699,900"
"VAFX2065838","RES","ACT","7826 Rebel Dr","Annandale","Fairfax, VA","5","3/1","Detached","04/29/22","Hyundai Realty (HYU1)","$839,000"
"VAFX2064516","RES","ACT","9111 Windflower Ln","Annandale","Fairfax, VA","4","3/1","Detached","04/28/22","EXP Realty, LLC (EXPY1)","$875,000"
"VAFX2064340","RES","ACT","5051 Rapidan Pl","Annandale","Fairfax, VA","3","3/1","Detached","04/28/22","EXP Realty, LLC (EXPY1)","$1,400,000"
"VAFX2065410","RES","ACT","4949 Americana Dr #104","Annandale","Fairfax, VA","2","1","Unit/Flat/Apartment","04/28/22","Coldwell Banker Realty (CBRB88)","$200,000"
"VAFX2065120","RES","ACT","8516 Canterbury Dr","Annandale","Fairfax, VA","5","3","Detached","04/29/22","Pearson Smith Realty, LLC (PSTH3)","$800,000"
"VAFX2063796","RES","ACT","3426 Holly Rd","Annandale","Fairfax, VA","4","3","Detached","04/29/22","EXP Realty, LLC (EXPY1)","$949,888"
"VAFX2065140","RES","ACT","3380 Monarch Ln","Annandale","Fairfax, VA","4","2/1","Detached","04/28/22","Coldwell Banker Realty (CBRB88)","$800,000"
"VAFX2065346","RES","ACT","4929 King David Blvd","Annandale","Fairfax, VA","4","3/1","Detached","04/29/22","Compass (COMPS7)","$899,900"
"629488","RES","ACT","108 Bedford Pl","Charlottesville","Albemarle, VA","4","4/0","Detached","04/25/22","LORING WOODRIFF REAL ESTATE ASSOCIATES (K1083-CAAR)","$1,375,000"
"VAFX2064554","RES","ACT","4117 Horseshoe Dr","Annandale","Fairfax, VA","4","2","Detached","04/23/22","Samson Properties (SAMP6)","$649,900"
"VAFX2064486","RES","ACT","4019 Hirst Dr","Annandale","Fairfax, VA","4","2/1","Detached","04/23/22","Giant Realty, Inc. (NSRI1)","$667,000"
"VAFX2061248","RES","ACT","8228 Brittainy Dr","Annandale","Fairfax, VA","4","2/1","Detached","04/21/22","EXP Realty, LLC (EXPY1)","$899,888"
"VAFX2064028","RES","ACT","4546 Garbo Ct","Annandale","Fairfax, VA","3","3/1","Interior Row/Townhouse","04/28/22","RE/MAX Allegiance (RMAX127)","$529,000"
"VAFX2063618","RES","ACT","4601 Willow Run Dr","Annandale","Fairfax, VA","3","1","Detached","04/28/22","EXP Realty, LLC (EXXPR1)","$600,000"
"VAFX2063592","RES","ACT","8430 Briar Creek Dr","Annandale","Fairfax, VA","5","3/1","Detached","04/26/22","NetRealtyNow.com, LLC (NRN2)","$1,150,000"
"VAFX2063488","RES","ACT","7354 Shenandoah Ave","Annandale","Fairfax, VA","3","3/0","Detached","04/21/22","Long & Foster Real Estate, Inc. (LNG79)","$875,000"
"VAFX2063184","RES","ACT","3354 Broken Knife Ct","Annandale","Fairfax, VA","4","3/1","Detached","04/21/22","KW United (KWR30)","$849,900"
"VAFX2062910","RES","ACT","7430 Fountain Head Dr","Annandale","Fairfax, VA","3","3/1","End of Row/Townhouse","04/29/22","Jobin Realty (JOBN4)","$527,000"
"VAFX2061766","RES","ACT","7450 Covent Wood Ct","Annandale","Fairfax, VA","4","3/1","End of Row/Townhouse","04/21/22","Houwzer, LLC (HOUW1)","$524,900"
"VAFX2061510","RES","ACT","7302 Byrneley Ln","Annandale","Fairfax, VA","5","5/0","Detached","04/15/22","Classic Realty, Ltd. (CLSS1)","$1,450,000"
"VAFX2062088","RES","ACT","4000 Thornton St","Annandale","Fairfax, VA","5","3","Detached","04/14/22","RE/MAX Allegiance (RMAX34)","$730,000"
"VAFX2062024","RES","ACT","5115 Southampton Dr","Annandale","Fairfax, VA","4","3/0","Detached","04/29/22","Century 21 Redwood Realty (RDWG8)","$788,000"
"VAFX2060946","RES","ACT","3366 Whipple Ct","Annandale","Fairfax, VA","3","3/1","Interior Row/Townhouse","04/14/22","Redfin Corporation (REFC1)","$529,000"
"VAFX2059846","RES","ACT","4902 Sauquoit Ln","Annandale","Fairfax, VA","3","2/2","Interior Row/Townhouse","04/25/22","Weichert, REALTORS (WEI70)","$505,000"
"VAFX2061480","RES","ACT","8312 Tobin Rd #8312-31","Annandale","Fairfax, VA","2","1/0","Unit/Flat/Apartment","04/14/22","AMPLUS REALTY, LLC. (APLR1)","$229,000"
"VAFX2060508","RES","ACT","4116 Mangalore Dr #303","Annandale","Fairfax, VA","2","1","Unit/Flat/Apartment","04/08/22","RE/MAX Allegiance (RMAX129)","$235,000"
"VAFX2060042","RES","ACT","7503 Davian Dr","Annandale","Fairfax, VA","3","3/1","Detached","04/21/22","Long & Foster Real Estate, Inc. (LNG93)","$699,900"
"VAFX2060662","RES","ACT","7706 Erie St","Annandale","Fairfax, VA","4","3","Detached","04/06/22","Kylin Realty Inc. (KYLR1)","$749,000"
"VAFX2060598","RES","ACT","7253 Glen Hollow Ct #3","Annandale","Fairfax, VA","3","2/0","Unit/Flat/Apartment","04/25/22","McEnearney Associates, Inc. (MCE3)","$465,000"
"VAFX2058646","RES","ACT","3905 Millcreek Dr","Annandale","Fairfax, VA","7","7/1","Detached","04/08/22","Fairfax Realty Select (FXR1)","$1,850,000"
"VAFX2059130","RES","ACT","4714 Wakefield Chapel Rd","Annandale","Fairfax, VA","5","2/1","Detached","03/31/22","NBI  Realty LLC (NBI1)","$880,000"
"VAFX2058524","RES","ACT","7264 Glen Hollow Ct #1","Annandale","Fairfax, VA","2","2","Unit/Flat/Apartment","04/13/22","S & S Realty & Investment, LLC (SSAM1)","$394,990"
"VAFX2057690","RES","ACT","4410 Briarwood Ct N. #9","Annandale","Fairfax, VA","2","1","Unit/Flat/Apartment","03/24/22","Irvin Realty LLC (IRVI1)","$240,000"
"VAFX2057534","RES","ACT","3603 Michael Ct","Annandale","Fairfax, VA","7","7/2","Detached","03/25/22","Classic Realty, Ltd. (CLSS1)","$1,850,000"
"VAFX2055872","RES","ACT","3501 Annandale Rd","Annandale","Fairfax, VA","5","3","Detached","03/21/22","Samson Properties (SAMP1)","$649,900"
"VAFX2055796","RES","ACT","4112 Mangalore Dr #402","Annandale","Fairfax, VA","2","1","Unit/Flat/Apartment","03/14/22","RE/MAX Allegiance (RMAX120)","$244,900"
"VAFX2054628","RES","ACT","7228 Braddock Rd","Annandale","Fairfax, VA","4","2/1","Detached","03/07/22","Samson Properties (SAMP6)","$560,000"
"VAFX2042474","RES","ACT","7700 Lafayette Forest Dr #4","Annandale","Fairfax, VA","2","2","Unit/Flat/Apartment","01/17/22","Fairfax Realty Select (FXR1)","$345,000"
